Id,SalePrice
1461,131181.69014882567
1462,194318.48058543634
1463,187635.6370686415
1464,168641.28159773824
1465,210632.48250615757
1466,169180.56003477616
1467,152617.97113029542
1468,167177.7373561895
1469,202978.3674967429
1470,110844.48700384014
1471,200315.07458551903
1472,94173.75753102636
1473,110442.22706552273
1474,159766.40295231176
1475,138242.4509720948
1476,347909.34743071144
1477,266432.09337153117
1478,319428.66820903576
1479,313853.9859945232
1480,457910.7419759284
1481,321181.5059586221
1482,232772.5915665027
1483,192632.356035637
1484,172309.5725091803
1485,187967.4169101357
1486,215165.78830350703
1487,295404.1627696325
1488,237408.4640135618
1489,211765.18089136944
1490,192826.6798305556
1491,192661.19193892434
1492,109263.81095596426
1493,177002.52326970882
1494,293303.0749490652
1495,293352.2616767566
1496,213091.002525791
1497,194984.290152713
1498,153745.65957203507
1499,151453.23264334124
1500,142402.7952437162
1501,158372.12240834013
1502,146618.71066291476
1503,339522.5515115536
1504,240615.57070175136
1505,217520.06138638195
1506,178122.9140658791
1507,225358.2657283452
1508,191734.08427682216
1509,158246.00831782035
1510,150250.17389790705
1511,150612.7557682488
1512,168802.59490271172
1513,158800.07036704998
1514,142860.3240270149
1515,164007.33938423754
1516,162880.4691690506
1517,151373.38382616141
1518,141771.18382611274
1519,232651.712663961
1520,134306.48710367538
1521,146761.1937646134
1522,183640.21021038826
1523,120791.1966846936
1524,131361.36267730742
1525,122267.23003189379
1526,131410.18389501827
1527,113981.46794863635
1528,140475.09528478156
1529,142981.37744494024
1530,159427.30920351302
1531,136736.20116652935
1532,114906.70269847372
1533,148595.31633783597
1534,127718.99533952921
1535,152240.98946540317
1536,134618.47561119025
1537,103831.94363620071
1538,163902.48366159937
1539,241612.2024669145
1540,129637.32972522135
1541,148453.62866807324
1542,126793.31959342929
1543,192542.1271502209
1544,82564.06407947597
1545,96487.40513076076
1546,117460.13515707671
1547,133723.40516122745
1548,131581.2334986298
1549,136531.9115801723
1550,130201.21850675243
1551,110181.20944439602
1552,180748.06513186364
1553,158407.6515354162
1554,108809.51471600895
1555,175069.06847017998
1556,124496.31066154991
1557,130721.48835406025
1558,83977.56859997139
1559,102255.00256034813
1560,149838.8554714372
1561,172069.68123514066
1562,131957.57749617985
1563,111681.28272467409
1564,147037.61600627372
1565,156765.09769234425
1566,216063.23282770318
1567,80711.16055635893
1568,225433.80378643723
1569,106369.20819200497
1570,150772.31487950342
1571,128496.87766196617
1572,143497.3781218793
1573,277965.3567418073
1574,100623.5087079625
1575,196979.67194205747
1576,211969.05892674657
1577,188565.9163440292
1578,155292.18638036042
1579,120146.63462509647
1580,184577.66384093626
1581,157099.9524904405
1582,126162.99440771095
1583,343311.5993619774
1584,244405.2356473524
1585,140396.92213688264
1586,68727.47724955769
1587,130590.04974609367
1588,139417.6599871703
1589,85307.43964749017
1590,114013.92276625348
1591,105643.81169480049
1592,113784.78321496375
1593,125088.83260959998
1594,152133.16157391827
1595,165950.47184381992
1596,302088.42238164984
1597,176013.86843605712
1598,191405.2269819094
1599,196599.03542137946
1600,196697.73358869855
1601,68362.99903911188
1602,142225.8923757875
1603,127986.7600666132
1604,250592.74356479384
1605,258792.460980832
1606,166905.39657278248
1607,159340.81818785306
1608,191889.29671286646
1609,193484.57670407114
1610,163962.3614121375
1611,165559.30802127803
1612,173640.04056608543
1613,152277.36328485687
1614,111900.12976494596
1615,75482.46291278952
1616,71865.39212601628
1617,92699.78158550888
1618,124442.40254818632
1619,137167.98828150323
1620,136750.0799298334
1621,129678.55552407455
1622,124035.1585135022
1623,291086.66764410556
1624,200841.34275186557
1625,134170.7718281257
1626,168474.17738828008
1627,180001.53087521694
1628,256775.01428016374
1629,163720.90738375383
1630,289554.0304096486
1631,233826.35229252014
1632,251751.8296495454
